date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:22:36	2836/2836	---MCZ	200	added ('OK')	application/javascript	etag:W/%2293516981f0a4c039e034e2abfc4b6b68%22	https://valhal.la/index.js	C:/sd/s/valhal.la/index.js	(from https://valhal.la/desktop)
20:22:36	3171/3171	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22445955e87ee7a960f9a255303103bfe8%22	https://valhal.la/audio.js	C:/sd/s/valhal.la/audio.js	(from https://valhal.la/desktop)
20:22:36	349661/349661	---M--	200	added ('OK')	image/png	etag:%226091aeb4eaca90acfad783a6ede98073%22	https://valhal.la/Members/nov.png	C:/sd/s/valhal.la/Members/nov.png	(from https://valhal.la/desktop)
20:22:36	150145/150145	---M--	200	added ('OK')	image/png	etag:%220e160cf538bd18ba5926a2107cffbec3%22	https://valhal.la/Members/reiko.png	C:/sd/s/valhal.la/Members/reiko.png	(from https://valhal.la/desktop)
20:22:36	281523/281523	---M--	200	added ('OK')	image/png	etag:%22d9ab062c656983653529aeb6687bbaeb%22	https://valhal.la/Members/operator.png	C:/sd/s/valhal.la/Members/operator.png	(from https://valhal.la/desktop)
20:22:37	41401/41401	---M--	200	added ('OK')	image/png	etag:%225180e90d9b90d3878baf0e101eda95ef%22	https://valhal.la/Members/harmless.png	C:/sd/s/valhal.la/Members/harmless.png	(from https://valhal.la/desktop)
20:22:37	282125/282125	---M--	200	added ('OK')	image/png	etag:%22c7218c3dc632d3eafab198177bf1da87%22	https://valhal.la/Members/convict.png	C:/sd/s/valhal.la/Members/convict.png	(from https://valhal.la/desktop)
20:22:37	225640/225640	---M--	200	added ('OK')	image/png	etag:%22be43084d3f493cd6edabf9b98d209285%22	https://valhal.la/Members/hyper.png	C:/sd/s/valhal.la/Members/hyper.png	(from https://valhal.la/desktop)
20:22:38	2389400/2389400	---M--	200	added ('OK')	audio/mpeg	etag:%228102b3190eb931b4c7e4f31a5471e3a7%22	https://valhal.la/songs/audio.mp3	C:/sd/s/valhal.la/songs/audio.mp3	(from https://valhal.la/desktop)
20:22:38	2580717/2580717	---M--	200	added ('OK')	audio/mpeg	etag:%222e4d234bb0d3fd1a1c250237aa5d454f%22	https://valhal.la/songs/audio3.mp3	C:/sd/s/valhal.la/songs/audio3.mp3	(from https://valhal.la/desktop)
20:22:38	308/308	---M--	200	added ('OK')	image/png	etag:%2241376c607a851e3338474d076e098715%22	https://valhal.la/images/sound.png	C:/sd/s/valhal.la/images/sound.png	(from https://valhal.la/desktop)
20:22:39	1999026/1999026	---M--	200	added ('OK')	audio/mpeg	etag:%22854baa0a2d1d6c70636e1cffb6ffe87e%22	https://valhal.la/songs/audio4.mp3	C:/sd/s/valhal.la/songs/audio4.mp3	(from https://valhal.la/desktop)
20:22:39	3765645/3765645	---M--	200	added ('OK')	audio/mpeg	etag:%226bed9172502b9d0509a0a63dd3995a95%22	https://valhal.la/songs/audio2.mp3	C:/sd/s/valhal.la/songs/audio2.mp3	(from https://valhal.la/desktop)
20:22:39	644/644	---M--	200	added ('OK')	image/apng	etag:%22c776d8a9307091a6d8d914c0adea5ca1%22	https://valhal.la/pixel.apng	C:/sd/s/valhal.la/pixel.apng	(from https://valhal.la/crt.css)
20:22:39	27745/27745	---M--	200	added ('OK')	image/jpeg	etag:%22aea86a98c002ec2f74b47524369512f8%22	https://valhal.la/images/girl.jpg	C:/sd/s/valhal.la/images/girl.jpg	(from https://valhal.la/desktop.css)
20:22:39	458/458	---M--	200	added ('OK')	image/png	etag:%22da913e731e0e67905b778daceceb84d5%22	https://win98icons.alexmeub.com/icons/png/windows-0.png	C:/sd/s/win98icons.alexmeub.com/icons/png/windows-0.png	(from https://valhal.la/desktop.css)
20:22:40	110541/110541	---M--	200	added ('OK')	image/png	etag:%2277b5b9a2403df1e0f2ca39a4b0745ae8%22	https://valhal.la/images/mobile-girl.png	C:/sd/s/valhal.la/images/mobile-girl.png	(from https://valhal.la/desktop.css)
20:22:40	7006/7006	---M--	200	added ('OK')	image/png	etag:%2228feccc0-1b5e%22	https://code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_444444_256x240.png	C:/sd/s/code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_444444_256x240.png	(from https://code.jquery.com/ui/1.12.1/themes/base/jquery-ui.css)
20:22:41	7001/7001	---M--	200	added ('OK')	image/png	etag:%2228feccc0-1b59%22	https://code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_555555_256x240.png	C:/sd/s/code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_555555_256x240.png	(from https://code.jquery.com/ui/1.12.1/themes/base/jquery-ui.css)
20:22:41	6313/6313	---M--	200	added ('OK')	image/png	etag:%2228feccc0-18a9%22	https://code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_ffffff_256x240.png	C:/sd/s/code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_ffffff_256x240.png	(from https://code.jquery.com/ui/1.12.1/themes/base/jquery-ui.css)
20:22:41	4632/4632	---M--	200	added ('OK')	image/png	etag:%2228feccc0-1218%22	https://code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_777620_256x240.png	C:/sd/s/code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_777620_256x240.png	(from https://code.jquery.com/ui/1.12.1/themes/base/jquery-ui.css)
20:22:41	4632/4632	---M--	200	added ('OK')	image/png	etag:%2228feccc0-1218%22	https://code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_cc0000_256x240.png	C:/sd/s/code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_cc0000_256x240.png	(from https://code.jquery.com/ui/1.12.1/themes/base/jquery-ui.css)
20:22:41	7013/7013	---M--	200	added ('OK')	image/png	etag:%2228feccc0-1b65%22	https://code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_777777_256x240.png	C:/sd/s/code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_777777_256x240.png	(from https://code.jquery.com/ui/1.12.1/themes/base/jquery-ui.css)
